col	role
ENSG00000069248	predictor
ENSG00000069275	predictor
ENSG00000069329	predictor
ENSG00000069345	predictor
ENSG00000069399	predictor
ENSG00000069424	predictor
ENSG00000069431	predictor
ENSG00000069493	predictor
ENSG00000069509	predictor
ENSG00000069535	predictor
ENSG00000069667	predictor
ENSG00000069696	predictor
ENSG00000069702	predictor
ENSG00000069764	predictor
ENSG00000069812	predictor
ENSG00000069849	predictor
ENSG00000069869	predictor
ENSG00000069943	predictor
ENSG00000069956	predictor
ENSG00000069966	predictor
ENSG00000069974	predictor
ENSG00000069998	predictor
ENSG00000070010	predictor
ENSG00000070018	predictor
ENSG00000070019	predictor
ENSG00000070047	predictor
ENSG00000070061	predictor
ENSG00000070081	predictor
ENSG00000070087	predictor
ENSG00000070159	predictor
ENSG00000070182	predictor
ENSG00000070190	predictor
ENSG00000070193	predictor
ENSG00000070214	predictor
ENSG00000070269	predictor
ENSG00000070366	predictor
ENSG00000070367	predictor
ENSG00000070371	predictor
ENSG00000070404	predictor
ENSG00000070413	predictor
ENSG00000070423	predictor
ENSG00000070444	predictor
ENSG00000070476	predictor
ENSG00000070495	predictor
ENSG00000070501	predictor
ENSG00000070526	predictor
ENSG00000070540	predictor
ENSG00000070601	predictor
ENSG00000070610	predictor
ENSG00000070614	predictor
ENSG00000070669	predictor
ENSG00000070718	predictor
ENSG00000070729	predictor
ENSG00000070731	predictor
ENSG00000070748	predictor
ENSG00000070756	predictor
ENSG00000070759	predictor
ENSG00000070761	predictor
ENSG00000070770	predictor
ENSG00000070778	predictor
ENSG00000070785	predictor
ENSG00000070808	predictor
ENSG00000070814	predictor
ENSG00000070831	predictor
ENSG00000070882	predictor
ENSG00000070915	predictor
ENSG00000070950	predictor
ENSG00000070961	predictor
ENSG00000070985	predictor
ENSG00000071051	predictor
ENSG00000071054	predictor
ENSG00000071073	predictor
ENSG00000071082	predictor
ENSG00000071127	predictor
ENSG00000071189	predictor
ENSG00000071205	predictor
ENSG00000071242	predictor
ENSG00000071243	predictor
ENSG00000071246	predictor
ENSG00000071282	predictor
ENSG00000071462	predictor
ENSG00000071537	predictor
ENSG00000071539	predictor
ENSG00000071553	predictor
ENSG00000071564	predictor
ENSG00000071575	predictor
ENSG00000071626	predictor
ENSG00000071655	predictor
ENSG00000071794	predictor
